epoch,f1,accuracy,precision,recall,train_loss,val_loss
1,0.17718015048442157,0.5102281306806792,0.14732847276663208,0.14457681253664267,2.7573420672301308,2.855891799940289
2,0.18972655610401762,0.4990751186271082,0.10173370069718204,0.10053979952645595,2.6366321458891115,2.9433199692324967
3,0.2187915753644779,0.4520254078904575,0.12641709680204638,0.19096857447024596,2.803521904610745,2.7987058854749396
4,0.19069889551318253,0.49740076106561293,0.16282324920564842,0.1665481916436306,2.6391968004921043,2.789597290171488
5,0.1673113120534288,0.5196848841279378,0.19135711650183462,0.18399296160636688,2.70971632996367,2.8686868769938823
6,0.16838530968454457,0.4626500886329739,0.16097689009566604,0.15996261210755056,2.660033573154497,2.7042420324189362
7,0.20419389826364573,0.5328071698053969,0.19964472226425053,0.1967942094330516,2.5765797909463246,2.65984202335867
8,0.19320668303418329,0.5052630270408889,0.16468663002751396,0.15530177635942283,2.526124605282777,2.7473422444527555
9,0.2336327352246832,0.49531165187539195,0.16902069055682098,0.1844691287509297,2.425543641047315,2.69594618689384
10,0.22887616368579328,0.4567205760196422,0.21469945828893774,0.1890121195928784,2.461047553722071,2.5146904129612113
11,0.23738414255746573,0.5185241141304321,0.2013790884366018,0.20390995131497575,2.427109259705216,2.483836027633374
12,0.20406198016783939,0.5252531676665094,0.17083715808679223,0.1943566987837238,2.4029603926691774,2.571379847880545
13,0.2595197337077938,0.49785024178556153,0.2204405022978866,0.19826552987272994,2.425898003307152,2.3665332797415024
14,0.22960573297644093,0.49663545747299076,0.23721806337737414,0.2504490637961363,2.37708709589514,2.4097250428184163
15,0.2009613888631633,0.5105129970461604,0.2266076496674963,0.2606799537266884,2.433507017882953,2.5020127877333183
16,0.21565797675008766,0.504235998302028,0.23063466320339024,0.2427275024312267,2.3554123180143365,2.474471915559975
17,0.2527951044978907,0.509191540794942,0.18455558557812707,0.19672695904895093,2.2938513273449446,2.5289907794493978
18,0.23716874236120844,0.5309214758480412,0.22935813328771623,0.22812049434928094,2.259226692224943,2.4451421914413425
19,0.3062642109408089,0.5196281339735739,0.22456382520230056,0.2447050566590799,2.2047714890122,2.2399786477748593
20,0.27189582891930797,0.5375324198993351,0.25170004915865746,0.28432878362773795,2.2122999374714323,2.3495615322170376
21,0.2908291439524361,0.5019092121498178,0.2493713543031047,0.27298322999916674,2.077733700613386,2.193201654022412
22,0.2862656730190653,0.5233064715891471,0.2866840218267013,0.3143326690967683,2.100813583059071,2.3367962107632807
23,0.2786320088437571,0.5542553619909986,0.2326919280583558,0.2503840875111431,2.0901440244397733,2.194044135871782
24,0.2762121426966352,0.5519474518379596,0.31383854624147456,0.2875409742744259,2.028086275321872,2.2635493670304623
25,0.2854300480919146,0.586558813082292,0.2481365378048024,0.24306662578962396,2.015469418280291,2.304788971235186
26,0.32611911697685375,0.5344317500118332,0.30945324813570374,0.3330406321863349,2.037822093636364,2.1055686114927337
27,0.33199202208137774,0.544662062482762,0.2874845298137156,0.3075804488046236,1.9786472565058075,2.0785337303073512
28,0.3255951474372209,0.5469465802724331,0.3519179472667294,0.31967608800687003,1.9361040043746387,2.069710229542075
29,0.27671133014430543,0.5298583326410644,0.339375349625318,0.3287552069049237,1.8214252507467943,2.0543389921368047
30,0.3273652118730425,0.5395304948876942,0.3492287714579454,0.32532880402370373,1.8752627978110763,2.111374653254455
31,0.33076782169255553,0.5967585335584441,0.37992965115082633,0.36920435593195616,1.7632363765022079,1.989588210802105
32,0.3562279179104739,0.540175271604554,0.3382984986943621,0.3815939399441757,1.7217932625791323,1.9453807497587376
33,0.31333800313974636,0.5757079314539155,0.33548558920670135,0.35447639207610565,1.7548917734067786,2.132066948966568
34,0.3644990849568453,0.5851656082189056,0.36412493632326987,0.32451679789806204,1.7001896642729935,1.9906843140664143
35,0.3109223097075623,0.5160256481624663,0.3597817679721128,0.3405452579725548,1.6599676844030344,1.988775848558239
36,0.3976101582730669,0.5491733726620259,0.41150746199562355,0.388538965698297,1.671995592388153,1.8059264119812304
37,0.36278138374099284,0.6223040701144185,0.4014105592039506,0.40500676654046625,1.5933951755330735,1.8665620787056267
38,0.3588894446841018,0.580936187910665,0.40179832417212047,0.3672324099591856,1.5848322279761482,1.8148912776273778
39,0.40167857781287447,0.5607495939417563,0.3927104162657337,0.34422731447534916,1.5621461076824572,1.872262211666359
40,0.4294170540080169,0.5756087419530871,0.41153604165609575,0.4067843371448024,1.474064084404707,1.7927637563233654
41,0.3797662677258765,0.607713157349013,0.3757901028205542,0.39435821962377676,1.4259244493738186,1.6906877866000176
42,0.3981685522966147,0.5654475212684031,0.37666189539098865,0.38550462471156327,1.4675440443025938,1.592018018780156
43,0.4226068047906245,0.59462029071112,0.4651010422245311,0.38067840769784395,1.4100908437490771,1.6869947226344517
44,0.42607502493480265,0.6209898966624217,0.41677569028010014,0.42534996080081844,1.4220806872656435,1.5774022219694193
45,0.4873044977613735,0.596177771293167,0.3951944867202401,0.45224425494113685,1.3223868522241184,1.5239601530636149
46,0.44765679777464085,0.5896389206065935,0.45192424568828216,0.44954200940425376,1.3846716971407018,1.6138595466820207
47,0.43664756093658297,0.6173414179810561,0.4349165494016593,0.42148629575827656,1.2348582379010775,1.438171144647322
48,0.4292207143944933,0.6225525176944768,0.4651223770539372,0.39672384929328,1.2193904904395678,1.4798678320846668
49,0.4443683958409227,0.61264445661201,0.4684126755557642,0.41710760568017113,1.2378054301350987,1.378329860487102
50,0.46278350845814814,0.5702363582305557,0.4895756870337213,0.5138984447639589,1.0566796301934023,1.41475576265584
